,Emp_ID,Age,Gender,City,Education_Level,Salary,Joining Designation,Designation,With_US,Quarterly Rating,Total Business Value,Last_Rating,Year_of_join,Month_of_join,Day_of_join,Attrition
36976,2727,32,0,23,2,36085,2,3,24,2.25,618840.4166666666,2,2011,10,17,0.0
66307,168,37,0,22,1,67869,1,1,1,1.0,0.0,1,2015,9,17,1.0
55271,2012,36,0,3,0,39739,1,1,1,1.0,0.0,1,2015,6,11,1.0
14900,1139,34,0,17,1,49939,1,1,24,2.625,484276.6666666667,2,2015,11,11,0.0
71079,1210,28,1,15,1,56467,2,2,1,1.0,0.0,1,2016,4,11,1.0
5866,448,36,1,1,0,65389,2,4,24,2.125,1263282.5,3,2011,4,4,0.0
10932,840,39,0,27,1,88813,1,4,24,1.5,713918.3333333334,2,2011,7,11,0.0
1278,78,37,1,13,1,105946,2,4,24,2.625,1813812.9166666667,2,2015,9,16,0.0
6214,482,44,1,1,0,56611,1,2,21,2.2857142857142856,552093.3333333334,2,2012,7,23,0.0
54318,1133,32,1,14,2,22921,1,1,1,1.0,0.0,1,2015,7,11,1.0
10456,791,35,0,23,1,84961,2,3,24,3.0,1584507.9166666667,4,2012,10,15,0.0
48870,711,36,1,3,0,35356,1,1,1,1.0,0.0,1,2015,10,20,1.0
66289,1548,43,1,22,0,31875,1,1,1,1.0,0.0,1,2015,6,18,1.0
19229,1452,31,1,16,2,61218,1,1,12,2.75,495260.8333333333,3,2017,1,14,0.0
17423,1290,35,0,16,2,27467,1,1,17,2.0588235294117645,327377.64705882355,3,2016,8,15,0.0
8383,624,35,1,6,0,104712,2,3,24,2.25,833817.5,2,2011,5,18,0.0
57479,1603,34,0,9,0,49936,1,1,1,1.0,0.0,1,2015,11,24,1.0
59384,2444,28,1,28,1,27581,1,1,1,1.0,0.0,1,2015,11,8,1.0
23762,1804,31,1,6,2,86813,3,3,3,1.0,100276.66666666667,1,2017,10,4,0.0
34791,2573,38,0,18,1,52321,1,1,4,1.0,41580.0,1,2017,7,14,0.0
55911,2104,29,1,15,0,26280,1,1,1,1.0,0.0,1,2015,7,16,1.0
29970,2255,38,1,17,1,133489,3,4,24,2.625,1516587.0833333333,3,2010,11,6,0.0
34371,2555,39,0,4,1,116077,2,4,20,2.55,1652720.5,3,2011,12,29,0.0
71206,1652,32,0,6,0,43386,1,1,1,1.0,0.0,1,2015,9,12,1.0
5435,425,45,1,14,0,30921,1,3,24,2.125,626532.9166666666,3,2012,12,24,0.0
28419,2166,41,1,21,2,31780,1,1,24,2.875,566259.1666666666,3,2015,7,9,0.0
51784,1668,29,0,14,1,39763,2,2,1,1.0,0.0,1,2015,12,14,1.0
18461,1375,48,0,0,2,44722,1,1,5,1.6,216338.0,1,2015,9,21,0.0
12473,954,30,1,4,1,43996,1,2,24,3.25,1081313.3333333333,3,2011,8,29,0.0
19291,1461,44,1,1,1,39841,2,2,21,1.7142857142857142,322235.71428571426,2,2012,9,24,0.0
12584,960,39,0,22,2,107936,3,3,7,2.7142857142857144,704821.4285714285,3,2017,6,12,0.0
29952,2253,40,1,2,0,57872,1,2,12,2.5,491790.8333333333,2,2015,8,17,0.0
55203,877,28,0,3,0,17172,1,1,1,1.0,0.0,1,2015,9,14,1.0
70632,875,26,0,11,1,20352,1,1,1,1.0,68168.1760186234,1,2015,9,20,1.0
4976,394,33,0,12,2,97722,2,4,24,2.125,1144092.5,3,2011,6,6,0.0
7749,581,40,1,17,2,52641,1,1,24,3.0,686465.0,3,2015,1,10,0.0
73244,1038,35,1,11,1,110416,2,3,1,1.0,0.0,1,2014,6,24,1.0
73033,1956,33,1,9,1,55937,2,2,1,1.0,0.0,1,2016,6,4,1.0
769,60,46,0,12,1,82126,1,3,24,3.5,2051063.3333333333,2,2013,9,17,0.0
37985,1126,28,0,9,1,47047,1,1,1,1.0,0.0,1,2015,8,19,1.0
31080,2344,33,1,7,1,113197,3,3,7,3.142857142857143,795042.8571428572,4,2017,6,21,0.0
38088,1321,35,1,14,1,95108,2,2,1,1.0,0.0,1,2015,8,10,1.0
18073,1349,33,1,23,1,67126,1,3,13,1.6923076923076923,375170.0,1,2014,8,19,0.0
57142,2011,28,0,13,1,72335,1,1,1,1.0,0.0,1,2015,10,29,1.0
32016,2408,42,1,23,1,132505,1,4,13,2.8461538461538463,1708632.3076923077,1,2013,5,1,0.0
55931,1182,26,0,8,0,27119,1,1,1,1.0,0.0,1,2016,7,12,1.0
46596,1177,28,1,17,0,46633,1,1,1,1.0,0.0,1,2015,9,26,1.0
63601,70,40,0,22,0,57980,2,2,1,1.0,0.0,1,2015,10,14,1.0
30033,2256,30,1,2,1,59644,2,2,9,2.0,418991.1111111111,2,2015,10,7,0.0
12370,946,43,1,14,0,58803,1,2,24,2.875,777241.25,3,2013,4,25,0.0
26474,2008,35,0,19,1,30840,1,2,24,3.5,1117675.4166666667,4,2014,12,26,0.0
19019,1432,32,1,18,1,29365,1,2,24,2.75,670454.1666666666,3,2015,10,13,0.0
17116,1274,52,1,6,2,133706,1,3,24,3.375,2124457.0833333335,2,2015,6,8,0.0
46103,920,26,0,23,1,20348,1,1,1,1.0,0.0,1,2016,7,26,1.0
30185,2259,41,1,23,2,89192,1,3,24,2.125,561175.8333333334,2,2014,2,10,0.0
19251,1455,30,1,8,0,55718,2,2,4,1.0,0.0,1,2017,1,11,0.0
66374,1712,34,1,15,0,43835,1,1,1,1.0,0.0,1,2015,6,20,1.0
62748,2627,28,1,23,0,16939,1,1,1,1.0,0.0,1,2015,5,22,1.0
45077,908,30,0,13,1,11635,1,1,1,1.0,0.0,1,2015,10,25,1.0
10438,791,35,0,23,1,84961,2,3,24,3.0,1584507.9166666667,4,2012,10,15,0.0
45863,1279,37,1,13,1,12751,1,1,1,1.0,0.0,1,2015,12,16,1.0
30179,2259,41,1,23,2,89192,1,3,24,2.125,561175.8333333334,2,2014,2,10,0.0
34130,2546,36,1,1,2,70774,2,2,24,3.0,923150.0,4,2015,8,6,0.0
36550,2697,29,1,12,1,52912,1,1,4,1.0,0.0,1,2016,11,11,0.0
50184,928,30,1,16,2,19901,1,1,1,1.0,0.0,1,2015,9,18,1.0
16247,1225,30,0,2,0,42262,1,1,24,2.75,527593.75,3,2013,4,25,0.0
28773,2186,29,0,27,2,70246,1,2,18,2.1666666666666665,496146.6666666667,2,2013,8,13,0.0
72,13,31,1,10,2,119227,1,4,23,1.2608695652173914,444045.2173913043,1,2012,5,28,0.0
14586,1109,36,0,19,1,88798,1,3,24,2.875,845191.6666666666,3,2012,12,3,0.0
31681,2391,29,1,18,1,40366,2,2,9,1.8888888888888888,368117.77777777775,2,2016,9,12,0.0
25574,1928,28,1,4,0,69939,3,3,6,1.0,80835.0,1,2016,11,29,0.0
73401,1242,28,1,15,1,56475,2,2,1,1.0,0.0,1,2016,4,12,1.0
37784,2784,33,1,16,1,82815,2,3,24,2.625,906200.8333333334,4,2012,10,15,0.0
67052,1907,30,0,12,1,39926,2,2,1,1.0,0.0,1,2015,12,18,1.0
70363,2638,37,0,22,0,59422,1,1,1,1.0,0.0,1,2015,8,27,1.0
63917,1925,29,1,15,0,66099,1,1,1,1.0,0.0,1,2015,7,21,1.0
32885,2481,46,0,11,2,44041,1,1,9,1.6666666666666667,274546.6666666667,2,2015,2,12,0.0
27284,2073,21,1,19,1,42380,1,1,10,1.1,100013.0,2,2015,12,31,0.0
50452,2293,30,1,6,0,12927,1,1,1,1.0,0.0,1,2015,5,22,1.0
20550,1565,35,0,28,0,30310,1,1,16,2.3125,356162.5,1,2015,10,23,0.0
3988,328,35,0,20,0,54816,3,3,8,1.0,25000.0,1,2015,12,11,0.0
36104,2668,33,1,7,1,112112,2,4,24,2.25,1255079.1666666667,1,2011,12,27,0.0
65357,971,37,1,23,1,69247,1,1,1,1.0,0.0,1,2015,9,23,1.0
57723,1604,28,0,12,0,17339,1,1,1,1.0,0.0,1,2015,8,7,1.0
69148,2145,33,0,9,2,85824,2,2,1,1.0,0.0,1,2016,2,9,1.0
14439,1098,40,1,1,0,41591,3,3,7,1.4285714285714286,145254.2857142857,1,2017,5,29,0.0
57848,1825,31,0,11,2,51047,1,1,1,1.0,0.0,1,2015,6,30,1.0
28889,2190,28,1,26,0,62955,1,2,3,1.0,48066.666666666664,1,2013,4,25,0.0
73118,1272,30,0,16,0,78188,2,2,1,1.0,0.0,1,2015,10,9,1.0
57654,402,26,0,2,1,49546,1,1,1,1.0,0.0,1,2016,11,19,1.0
3371,275,39,1,12,1,89124,1,3,24,2.875,1404074.5833333333,3,2013,5,2,0.0
54051,2326,41,1,20,0,14865,1,1,1,1.0,0.0,1,2015,5,20,1.0
12550,956,30,1,14,0,29492,2,2,15,2.0,425535.3333333333,4,2016,10,19,0.0
20653,1573,29,0,27,0,62349,1,2,24,2.875,804208.75,4,2012,7,30,0.0
64428,1262,32,0,12,1,34267,1,1,1,1.0,0.0,1,2015,4,8,1.0
22481,1696,43,0,27,2,51246,2,2,4,1.0,0.0,1,2017,8,29,0.0
61668,2172,33,0,14,0,78642,3,3,1,1.0,0.0,1,2015,8,4,1.0
42681,291,32,0,22,1,13427,1,1,1,1.0,0.0,1,2015,11,28,1.0
40566,1281,30,0,8,1,10896,1,1,1,1.0,0.0,1,2015,8,23,1.0
11566,890,33,0,24,1,43463,1,1,20,2.25,299757.5,3,2014,7,8,0.0
56316,2129,33,0,21,1,69921,2,2,1,1.0,0.0,1,2015,10,26,1.0
63470,1328,30,0,15,0,28263,1,1,1,1.0,0.0,1,2015,8,10,1.0
4703,377,34,1,24,1,121332,1,3,24,2.5,792387.0833333334,2,2012,10,11,0.0
1749,115,46,1,0,0,31752,1,3,24,2.125,528122.5,2,2012,7,23,0.0
39940,1504,27,0,7,1,12490,1,1,1,1.0,0.0,1,2015,5,8,1.0
39786,159,30,1,7,2,49480,1,1,1,1.0,0.0,1,2015,7,23,1.0
34519,2563,38,1,12,1,53880,1,1,13,3.076923076923077,560871.5384615385,1,2012,8,27,0.0
14776,1123,42,0,12,0,55112,1,2,13,2.8461538461538463,668000.0,1,2013,4,30,0.0
71376,1377,23,0,14,1,44853,1,1,1,1.0,0.0,1,2015,7,9,1.0
50692,1885,28,0,18,0,27139,1,1,1,1.0,0.0,1,2015,9,3,1.0
62701,1189,34,0,8,0,50097,1,1,1,1.0,0.0,1,2015,11,29,1.0
5246,414,32,0,17,1,97153,2,3,20,1.85,536624.0,2,2015,1,21,0.0
13503,1041,38,0,9,0,49443,3,3,6,1.0,40700.0,1,2017,6,19,0.0
24188,1840,30,0,25,0,34712,1,2,24,2.8333333333333335,876227.9166666666,4,2014,11,21,0.0
61232,139,47,1,13,1,34823,1,1,1,1.0,0.0,1,2015,1,25,1.0
35839,2648,45,1,24,0,38047,1,1,19,2.4210526315789473,471927.36842105264,1,2016,6,6,0.0
13899,1064,33,1,19,1,104966,3,3,11,1.0,0.0,1,2016,7,18,0.0
27030,2055,32,1,1,1,42260,3,3,24,1.75,468526.25,2,2016,1,2,0.0
50775,2597,35,0,3,1,55804,1,1,1,1.0,0.0,1,2015,11,15,1.0
75108,2293,28,1,20,0,66441,1,1,1,1.0,0.0,1,2015,9,26,1.0
62910,1445,30,1,12,1,12958,1,1,1,1.0,0.0,1,2015,8,25,1.0
68804,1901,30,0,7,1,12122,1,1,1,1.0,0.0,1,2015,7,23,1.0
42629,387,30,0,23,0,21131,1,1,1,1.0,0.0,1,2015,9,23,1.0
36181,2670,32,0,16,0,38326,1,1,24,2.75,475742.5,3,2015,12,12,0.0
22173,1675,42,0,5,2,53930,1,1,16,3.625,1357359.375,1,2015,7,13,0.0
55456,2621,27,1,26,0,26738,1,1,1,1.0,0.0,1,2015,10,3,1.0
74615,1365,38,1,6,0,43717,2,2,1,1.0,0.0,1,2015,6,12,1.0
7035,548,31,0,12,2,55239,3,3,5,1.0,0.0,1,2017,8,16,0.0
16770,1250,40,0,5,2,55519,1,1,13,2.1538461538461537,319553.07692307694,1,2015,5,22,0.0
15671,1181,34,0,14,0,122554,1,4,24,2.75,2241977.0833333335,2,2012,11,5,0.0
62874,1935,36,0,25,1,38020,2,2,1,1.0,0.0,1,2015,6,17,1.0
1641,112,45,1,21,0,50466,1,1,24,2.875,546727.9166666666,3,2015,6,30,0.0
26543,2013,37,0,12,2,59274,1,1,8,2.0,376966.25,2,2015,5,15,0.0
3874,320,28,0,12,1,56813,1,1,24,4.0,1256403.3333333333,4,2015,7,13,0.0
58458,1631,33,0,6,0,44155,2,2,1,1.0,0.0,1,2015,10,13,1.0
71904,2164,30,1,6,1,12904,1,1,1,1.0,0.0,1,2015,6,23,1.0
42510,1573,30,0,18,1,39302,2,2,1,1.0,0.0,1,2015,10,12,1.0
2971,228,45,1,25,2,53385,1,1,17,3.1176470588235294,611183.5294117647,1,2013,7,25,0.0
50883,2166,34,0,11,0,21573,1,1,1,1.0,0.0,1,2015,5,16,1.0
5769,442,32,1,15,2,73933,3,3,3,1.0,0.0,1,2016,9,20,0.0
40538,1902,38,1,6,0,39922,1,1,1,1.0,0.0,1,2015,6,24,1.0
73672,2572,23,1,27,1,26764,1,1,1,1.0,0.0,1,2015,11,3,1.0
36111,2668,34,1,7,1,112112,2,4,24,2.25,1255079.1666666667,1,2011,12,27,0.0
11344,875,36,0,23,0,93822,3,3,5,1.0,0.0,1,2017,8,14,0.0
53415,2176,36,0,8,0,56444,2,2,1,1.0,0.0,1,2015,12,12,1.0
32140,2417,26,1,20,2,73899,2,2,15,1.2,161540.66666666666,1,2016,10,17,0.0
59881,2029,37,0,23,0,37996,1,1,1,1.0,0.0,1,2015,6,18,1.0
56744,1002,35,0,16,1,34704,1,1,1,1.0,0.0,1,2015,7,23,1.0
15869,1196,26,1,15,1,46789,2,2,5,1.0,28812.0,1,2015,11,30,0.0
60469,742,26,0,23,1,20628,1,1,1,1.0,0.0,1,2016,8,27,1.0
63577,1653,33,0,6,0,44154,2,2,1,1.0,0.0,1,2015,10,13,1.0
61391,462,35,0,15,0,46389,1,1,1,1.0,0.0,1,2015,11,16,1.0
55828,513,25,0,3,2,49692,1,1,1,1.0,0.0,1,2016,11,19,1.0
17677,1316,34,0,20,0,75773,2,3,24,3.625,1576414.5833333333,3,2015,10,23,0.0
15460,1173,41,1,14,2,26301,1,1,18,2.3333333333333335,365778.3333333333,1,2013,5,6,0.0
33691,2530,27,0,21,0,137450,3,4,20,1.7,698875.0,2,2012,8,2,0.0
70438,1678,25,0,18,0,28241,1,1,1,1.0,0.0,1,2016,3,8,1.0
56233,2026,27,0,23,1,52236,1,1,1,1.0,0.0,1,2015,8,27,1.0
64469,441,35,0,9,1,23122,1,1,1,1.0,0.0,1,2015,7,19,1.0
48065,1761,39,0,16,0,21004,1,1,1,1.0,0.0,1,2015,6,10,1.0
31395,2372,35,1,16,2,67219,3,3,6,1.0,28746.666666666668,1,2017,5,23,0.0
9020,697,41,1,17,0,118215,4,4,18,2.8333333333333335,2171677.222222222,2,2016,7,14,0.0
37978,1730,29,0,19,1,61342,1,4,1,1.0,0.0,1,2010,9,27,1.0
6385,489,31,0,3,2,49475,1,1,13,2.230769230769231,366043.8461538461,2,2016,10,18,0.0
60282,1640,38,1,10,0,30582,1,1,1,1.0,0.0,1,2015,6,18,1.0
7519,569,38,0,18,1,111743,2,3,24,3.375,1230432.5,3,2012,12,31,0.0
69230,794,32,1,18,1,57032,2,2,1,1.0,0.0,1,2016,6,13,1.0
37743,2774,41,1,6,0,42313,1,1,7,2.7142857142857144,612001.4285714285,1,2015,7,21,0.0
7562,569,40,0,18,1,111743,2,3,24,3.375,1230432.5,3,2012,12,31,0.0
33247,2495,32,0,22,1,25228,1,1,16,1.9375,283907.5,1,2015,11,12,0.0
25087,1879,45,1,13,0,77647,3,3,11,1.2727272727272727,389134.54545454547,1,2014,11,1,0.0
74605,441,29,1,3,1,25951,1,1,1,1.0,0.0,1,2015,10,10,1.0
24384,1849,32,1,25,2,53062,1,2,20,2.5,710426.5,1,2015,1,22,0.0
18532,1384,34,1,12,1,38059,1,1,9,2.6666666666666665,563937.7777777778,2,2012,10,25,0.0
23444,1770,38,0,23,2,92440,1,4,24,2.75,1404568.3333333333,1,2013,5,2,0.0
46344,2667,28,0,24,0,41741,1,1,1,1.0,0.0,1,2015,7,23,1.0
55989,1192,30,0,18,0,64824,2,2,1,1.0,0.0,1,2015,2,13,1.0
37335,2744,41,0,6,1,128906,5,5,7,1.0,16705.714285714286,1,2015,7,15,0.0
9527,718,27,1,6,2,67490,1,3,24,3.0,980947.0833333334,4,2013,4,26,0.0
31833,2399,29,0,15,2,67326,1,1,24,2.75,489266.25,3,2015,7,3,0.0
3193,261,41,0,12,2,90988,3,3,16,1.9375,494548.125,1,2015,7,27,0.0
7685,580,41,0,9,2,51189,1,1,24,3.6666666666666665,818719.5833333334,4,2015,7,27,0.0
58827,1023,31,1,20,1,19555,1,1,1,1.0,0.0,1,2015,9,16,1.0
46664,1873,35,0,24,1,38239,2,2,1,1.0,0.0,1,2015,7,16,1.0
52936,324,34,0,7,1,23157,1,1,1,1.0,0.0,1,2015,7,10,1.0
17506,1300,35,1,10,2,39823,1,1,6,1.0,58333.333333333336,1,2016,11,2,0.0
15581,1179,52,0,9,0,78200,1,3,24,2.75,720299.1666666666,2,2014,1,13,0.0
65146,398,26,0,2,1,49543,1,1,1,1.0,0.0,1,2016,11,19,1.0
26251,1989,37,1,26,2,76388,3,3,12,1.75,386946.6666666667,2,2017,1,25,0.0
4520,368,44,1,15,0,46719,1,1,24,3.75,1286219.5833333333,4,2015,9,18,0.0
50809,681,30,0,16,0,62292,2,2,1,1.0,0.0,1,2015,10,12,1.0
63904,2373,34,0,11,0,78216,3,3,1,1.0,0.0,1,2016,7,2,1.0
1011,67,40,1,20,2,65982,1,2,24,2.5,522645.8333333333,3,2016,1,4,0.0
26964,2050,34,1,21,2,92796,2,2,14,3.142857142857143,1208926.4285714286,4,2016,10,31,0.0
74444,1648,30,0,15,0,44102,1,1,1,1.0,0.0,1,2015,8,22,1.0
19353,1463,41,1,11,0,38105,1,1,13,3.1538461538461537,647719.2307692308,2,2015,8,25,0.0
11797,906,34,0,9,0,108997,3,3,16,2.125,668563.125,3,2016,8,30,0.0
10697,820,38,1,5,2,59166,1,1,17,2.764705882352941,529442.3529411765,1,2015,5,23,0.0
6614,516,26,0,21,1,41099,1,1,18,1.6666666666666667,313798.8888888889,1,2016,7,4,0.0
48976,845,39,0,15,1,69445,1,1,1,1.0,0.0,1,2015,10,13,1.0
39858,2279,35,1,6,1,55736,2,2,1,1.0,0.0,1,2015,8,4,1.0
53119,379,36,1,22,1,68414,1,1,1,1.0,0.0,1,2015,9,16,1.0
54911,433,32,0,7,1,23614,1,1,1,1.0,0.0,1,2015,7,22,1.0
36177,2670,31,0,16,0,38326,1,1,24,2.75,475742.5,3,2015,12,12,0.0
32970,2485,41,1,4,2,51616,1,1,17,1.7058823529411764,174077.64705882352,1,2015,6,2,0.0
42591,869,26,0,11,1,20363,1,1,1,1.0,71127.41120223279,1,2015,9,19,1.0
61852,2676,34,0,6,1,77695,2,2,1,1.0,0.0,1,2017,4,1,1.0
28431,2166,42,1,21,2,31780,1,1,24,2.875,566259.1666666666,3,2015,7,9,0.0
7342,565,37,1,20,0,56543,3,3,16,2.3125,537165.0,3,2016,9,23,0.0
45227,1496,31,0,11,0,44137,1,1,1,1.0,0.0,1,2015,8,20,1.0
41459,1485,30,0,9,1,36467,1,1,1,1.0,0.0,1,2015,5,19,1.0
15562,1179,51,0,9,0,78200,1,3,24,2.75,720299.1666666666,2,2014,1,13,0.0
8892,686,28,0,0,2,62909,2,2,6,1.0,143333.33333333334,1,2016,11,2,0.0
12962,999,23,0,12,0,36811,2,2,8,1.75,238500.0,2,2017,5,5,0.0
47331,2102,31,0,11,1,50622,1,1,1,1.0,0.0,1,2015,8,25,1.0
40820,2130,30,0,11,1,76456,2,2,1,1.0,0.0,1,2015,6,19,1.0
46810,1136,25,1,11,1,44949,1,1,1,1.0,0.0,1,2015,7,7,1.0
3439,275,41,1,12,1,97226,1,4,24,2.875,1404074.5833333333,3,2013,5,2,0.0
58895,1555,31,0,2,0,28929,1,1,1,1.0,0.0,1,2015,6,14,1.0
6886,538,25,0,15,0,29698,1,1,14,2.0714285714285716,321962.14285714284,2,2016,11,10,0.0
51377,898,27,0,21,2,20127,1,1,1,1.0,0.0,1,2016,8,24,1.0
37485,2754,29,1,25,2,62462,1,1,19,2.1052631578947367,301890.5263157895,2,2016,6,8,0.0
16970,1265,35,1,26,1,60358,1,2,24,2.125,445949.5833333333,3,2015,6,24,0.0
28019,2134,39,1,21,1,116006,2,5,24,2.875,2487352.0833333335,1,2010,10,30,0.0
67665,450,29,0,23,0,21042,1,1,1,1.0,0.0,1,2015,9,24,1.0
44875,1625,31,0,18,1,22776,1,1,1,1.0,0.0,1,2015,7,18,1.0
48333,897,36,0,17,1,14195,1,1,1,1.0,0.0,1,2015,8,20,1.0
9392,716,42,1,0,0,57593,1,2,24,3.25,1454711.25,3,2014,11,10,0.0
20670,1573,30,0,27,0,62349,1,2,24,2.875,804208.75,4,2012,7,30,0.0
69,13,31,1,10,2,119227,1,4,23,1.2608695652173914,444045.2173913043,1,2012,5,28,0.0
67916,2111,31,1,20,0,26552,1,1,1,1.0,0.0,1,2015,10,4,1.0
7978,593,39,1,15,1,86336,3,3,9,2.4444444444444446,448386.6666666667,1,2017,2,27,0.0
44545,2301,34,0,9,1,41833,1,1,1,1.0,0.0,1,2015,9,8,1.0
29809,2241,35,1,24,0,50766,3,3,14,1.6428571428571428,316450.0,2,2016,11,17,0.0
20805,1586,30,0,25,1,75643,2,2,4,1.0,0.0,1,2017,9,20,0.0
75148,988,29,1,15,1,20160,1,1,1,1.0,0.0,1,2015,8,18,1.0
71243,1316,26,0,10,1,47055,1,1,1,1.0,0.0,1,2015,8,23,1.0
37826,2786,45,1,10,1,35370,2,2,9,1.6666666666666667,312787.77777777775,1,2015,7,31,0.0
29240,2204,29,0,23,2,61879,1,1,18,2.3333333333333335,404775.55555555556,2,2015,1,13,0.0
38730,1477,35,0,14,0,46491,1,1,1,1.0,0.0,1,2015,11,20,1.0
35525,2623,42,0,28,0,68473,2,2,8,2.125,569161.25,1,2015,7,7,0.0
52282,134,36,0,1,1,47098,1,1,1,1.0,0.0,1,2015,9,2,1.0
31654,2390,46,1,20,1,51383,1,2,24,3.0,775339.1666666666,1,2015,5,30,0.0
69126,935,37,1,23,1,69193,1,1,1,1.0,0.0,1,2015,9,22,1.0
4269,351,31,1,28,0,50609,2,2,13,2.1538461538461537,634994.6153846154,4,2016,12,10,0.0
23437,1770,38,0,23,2,92440,1,4,24,2.75,1404568.3333333333,1,2013,5,2,0.0
8886,684,23,0,12,1,30083,1,1,4,2.5,375085.0,1,2017,6,30,0.0
69122,2270,33,0,9,1,50748,1,1,1,1.0,0.0,1,2015,8,25,1.0
20239,1532,37,1,11,0,48555,2,2,16,1.375,204260.0,2,2016,9,15,0.0
7757,581,40,1,17,2,52641,1,1,24,3.0,686465.0,3,2015,1,10,0.0
27464,2087,52,1,16,2,102597,1,3,24,3.0,1239021.25,4,2012,8,20,0.0
64161,1723,44,1,24,0,31270,1,1,1,1.0,0.0,1,2015,6,20,1.0
23365,1770,36,0,23,2,84737,1,3,24,2.75,1404568.3333333333,1,2013,5,2,0.0
830,60,48,0,12,1,89592,1,4,24,3.5,2051063.3333333333,2,2013,9,17,0.0
11595,890,34,0,24,1,43463,1,1,20,2.25,299757.5,3,2014,7,8,0.0
44365,184,29,1,6,2,49470,1,1,1,1.0,0.0,1,2016,8,22,1.0
54922,1310,35,0,8,0,55648,2,2,1,1.0,0.0,1,2015,5,4,1.0
54184,1597,38,0,11,1,60688,1,1,1,1.0,0.0,1,2015,9,28,1.0
43343,1309,34,0,20,0,20614,1,1,1,1.0,0.0,1,2015,7,18,1.0
73197,1973,28,0,19,0,65420,1,1,1,1.0,0.0,1,2015,6,20,1.0
38916,1705,27,0,13,1,73084,2,2,1,1.0,0.0,1,2015,10,27,1.0
26825,2035,43,1,25,1,66031,1,2,7,1.8571428571428572,305892.85714285716,1,2015,5,22,0.0
24107,1831,38,1,24,0,42960,3,3,6,1.0,106220.0,1,2017,7,13,0.0
48264,926,29,0,23,0,20279,1,1,1,1.0,0.0,1,2015,7,18,1.0
30095,2257,42,0,14,2,81933,2,2,24,3.0,753185.8333333334,4,2015,2,24,0.0
72630,1485,30,0,3,0,28755,1,1,1,1.0,0.0,1,2015,6,13,1.0
73565,614,30,1,3,0,45042,1,1,1,1.0,0.0,1,2015,7,4,1.0
56515,731,32,1,18,1,19693,1,1,1,1.0,0.0,1,2015,10,14,1.0
28437,2166,42,1,21,2,31780,1,1,24,2.875,566259.1666666666,3,2015,7,9,0.0
39192,445,36,1,22,1,68530,1,1,1,1.0,0.0,1,2015,9,15,1.0
67951,587,31,1,23,0,20786,1,1,1,1.0,0.0,1,2015,8,17,1.0
39233,2017,29,0,12,1,72287,2,2,1,1.0,0.0,1,2015,11,26,1.0
61744,699,30,0,16,0,62259,2,2,1,1.0,0.0,1,2015,10,12,1.0
52694,1840,36,0,8,1,22866,1,1,1,1.0,0.0,1,2015,8,18,1.0
3589,296,30,0,12,0,65094,1,2,24,3.0,1245893.75,4,2015,6,10,0.0
45762,1933,32,0,14,1,51250,1,1,1,1.0,0.0,1,2015,6,30,1.0
2628,199,29,1,5,1,87902,1,3,24,3.25,1313904.1666666667,4,2013,12,16,0.0
38675,399,33,0,1,0,45497,1,1,1,1.0,0.0,1,2015,8,3,1.0
16458,1234,38,1,20,0,21755,1,1,24,2.75,509162.0833333333,3,2015,6,29,0.0
23284,1756,42,0,4,0,51016,2,3,22,2.090909090909091,507514.0909090909,1,2014,11,13,0.0
72665,2001,32,0,10,1,83741,2,2,1,1.0,0.0,1,2016,3,6,1.0
65995,2379,36,0,23,0,48230,1,1,1,1.0,0.0,1,2016,6,15,1.0
41871,159,42,1,10,1,34629,1,1,1,1.0,0.0,1,2015,3,23,1.0
70804,1419,27,0,7,0,26379,1,1,1,1.0,0.0,1,2016,6,22,1.0
50835,1021,29,0,18,0,64144,2,2,1,1.0,0.0,1,2015,4,12,1.0
2146,153,37,0,14,0,148588,5,5,11,1.2727272727272727,133890.9090909091,1,2015,10,14,0.0
57128,2158,32,1,10,0,49641,1,1,1,1.0,0.0,1,2015,12,15,1.0
36696,2714,40,1,22,1,83969,2,3,24,2.75,901877.0833333334,4,2012,10,4,0.0
4080,336,45,1,1,2,140769,2,4,20,1.3,478879.0,1,2015,2,10,0.0
39039,2074,34,1,23,1,71004,2,2,1,1.0,0.0,1,2015,9,25,1.0
60521,1402,34,0,14,1,60923,1,3,1,1.0,0.0,1,2011,9,25,1.0
55724,2112,28,1,14,2,51871,2,2,1,1.0,0.0,1,2016,9,17,1.0
30983,2327,35,0,0,1,65040,1,1,10,1.3,144639.0,1,2016,10,14,0.0
2677,202,33,1,20,1,28921,1,1,2,2.0,296650.0,2,2017,10,30,0.0
22726,1719,45,0,22,1,44497,1,1,14,2.2142857142857144,281049.28571428574,2,2015,10,1,0.0
39254,577,33,0,11,2,49944,1,1,1,1.0,0.0,1,2015,5,28,1.0
66483,392,33,1,16,0,19614,1,1,1,1.0,0.0,1,2015,8,10,1.0
24256,1841,31,1,16,1,123565,1,3,24,3.0,1365273.3333333333,2,2011,9,2,0.0
24128,1835,28,1,0,2,42507,1,2,7,1.4285714285714286,219097.14285714287,1,2015,5,7,0.0
15640,1181,33,0,14,0,122554,1,4,24,2.75,2241977.0833333335,2,2012,11,5,0.0
37834,2787,28,0,12,2,69498,1,1,6,1.5,162971.66666666666,1,2015,7,21,0.0
16678,1245,32,1,12,0,43975,2,2,6,1.0,27200.0,1,2017,7,3,0.0
